# FEATURE: Bundle1 Search1 G1 JS1 PM1 IA1 WF1 F2
# name|tier|license|source|feature_ids|pg_versions|policy
pgactive|optional|Apache-2.0|binary-package|S7,C4,MR7|17|Cross-region active-active for reference tables. PG18 build pending upstream verification.
oracle_fdw|optional|PostgreSQL|binary-package|F2|17|Oracle migration and federation FDW. PG18 build pending upstream verification.
mysql_fdw|optional|PostgreSQL|binary-package|F2|17|MySQL migration and federation FDW. PG18 build pending upstream verification.
mongo_fdw|optional|PostgreSQL|binary-package|F2|17|Mongo migration and federation FDW. PG18 build pending upstream verification.
tds_fdw|optional|PostgreSQL|binary-package|F2|17|SQL Server migration and federation FDW. PG18 build pending upstream verification.
pgmq|optional|Apache-2.0|source-build|R6|17|Alternative queue substrate. PG18 build pending source-build verification.
pgque|optional|Apache-2.0|source-build|R6|17|Bloat-free queue substrate. PG18 build pending source-build verification.
pg_parquet|optional|PostgreSQL|source-build|L11|17|Parquet read/write helper. PG18 build pending source-build verification.
pg_squeeze|optional|PostgreSQL|binary-package|R7|17|Alternative online reorg. PG18 build pending upstream verification.
pg_show_plans|optional|PostgreSQL|binary-package|O12|17|Live plan inspection. PG18 build pending upstream verification.
pg_stat_monitor|optional|PostgreSQL|binary-package|O11|17|Alternative statement histogram view. PG18 build pending upstream verification.
pg_walinspect|optional|PostgreSQL|core-extension|WF1,WF2|17,18|WAL inspection from SQL.
pg_safeupdate|optional|PostgreSQL|binary-package|Sec10|17|Guard accidental full-table writes. PG18 build pending upstream verification.
anon|optional|PostgreSQL|binary-package|C3,Sec11|17|CDC anonymization substrate. PG18 build pending upstream verification.
vchord|optional|Apache-2.0|source-build|A12|17|Alternate vector index. PG18 build pending source-build verification.
pg_hint_plan|optional|PostgreSQL|binary-package|PM1,PM3|17,18|Hint-driven plan management.
sr_plan|optional|PostgreSQL|binary-package|PM2,PM3,PM4|17|Saved-plan backend. PG18 build pending upstream verification.
pgledger|optional|MIT|source-build|Sec5,Sec6|17|Optional upstream ledger extension. PG18 build pending source-build verification.
pglinter|optional|Apache-2.0|source-build|TS9,M7|17|Optional schema linter substrate. PG18 build pending source-build verification.
omnigres|optional|Apache-2.0|integration-target|API1,API6|17|Reference-only HTTP/API stack. PG18 build pending integration verification.
orioledb|hard-block|PostgreSQL|blocked|none|none|Heap access method conflicts with this stack.
pg_cryogen|hard-block|unknown|blocked|none|none|Cold-storage behavior competes with ai-blaise coldtier.
undam|hard-block|unknown|blocked|none|none|Storage-layer conflict risk.
append_only_heap|hard-block|unknown|blocked|none|none|Heap access method conflict.
imcs|hard-block|unknown|blocked|none|none|Memory column store competes with Citus execution.
hydra_columnar|hard-block|unknown|blocked|none|none|Columnar access method conflict.
pg_strom|hard-block|GPL-2.0|blocked|none|none|Planner and GPU execution hooks conflict with Citus paths.
vops|hard-block|PostgreSQL|blocked|none|none|Vectorized execution conflicts with planner assumptions.
vectorize_engine|hard-block|unknown|blocked|none|none|Competes with ai-blaise vectorizer.
pg_pathman|hard-block|PostgreSQL|blocked|none|none|Partitioning hook conflict with Citus and Timescale.
mmts|hard-block|unknown|blocked|none|none|Multi-master transaction manager conflict.
pg_dtm|hard-block|PostgreSQL|blocked|none|none|Distributed transaction manager conflict.
pg_tsdtm|hard-block|PostgreSQL|blocked|none|none|Distributed transaction manager conflict.
pg_shardman|hard-block|unknown|blocked|none|none|Sharding manager conflict with Citus.
gogudb|hard-block|unknown|blocked|none|none|Distributed transaction and sharding conflict.
plproxy|hard-block|BSD-style|blocked|none|none|Proxy sharding conflict.
postgres_fdw_plus|hard-block|unknown|blocked|none|none|FDW behavior competes with federation contract.
